turn_id,datetime,lat,lon,altitude,yaw,pitch,roll
00,1423260000,-130.08908159478347,-70.22239962940388,854.2269322180306,0.281,-0.41,-0.176
01,1423260006,-130.57067818857274,-69.90649144007656,854.1442588831478,-0.402,-0.313,-1.247
02,1423260012,-131.0387126879632,-69.5894286925353,854.0601970350216,1.77,-0.63,-1.568
03,1423260018,-131.49376215885044,-69.27126332098803,853.9747573091271,0.393,-0.745,1.055
04,1423260024,-131.9363742832709,-68.95204426988452,853.8879505130889,-0.296,0.047,-1.252
05,1423260030,-132.36706894864844,-68.6318177164181,853.7997876320552,0.488,-0.701,-0.771
06,1423260036,-132.78633981511976,-68.31062723383856,853.710279821912,1.481,-0.117,-1.99
07,1423260042,-133.19465576192425,-67.98851397303613,853.619438411052,-1.789,0.228,0.823
08,1423260048,-133.5924622676649,-67.66551681538051,853.5272748976118,-0.638,1.37,-1.132
09,1423260054,-133.98018272329082,-67.34167251418131,853.4338009465629,-1.596,-0.031,0.063
